0,1
AAPL,DHR
AAPL,DOV
AAPL,DPZ
AAPL,DTE
AAPL,DUK
AAPL,EA
AAPL,EBAY
AAPL,ED
AAPL,EFX
AAPL,EL
AAPL,EMN
AAPL,EMR
AAPL,EQIX
AAPL,ES
AAPL,ETN
AAPL,ETR
AAPL,EVRG
AAPL,EXC
AAPL,EXPD
AAPL,EXR
AAPL,FAST
AAPL,FDS
AAPL,FDX
AAPL,FMC
AAPL,GD
AAPL,GEN
AAPL,GILD
AAPL,GIS
AAPL,GL
AAPL,GLW
AAPL,GOOG
AAPL,GOOGL
AAPL,GPC
AAPL,GRMN
AAPL,GS
AAPL,GWW
AAPL,HD
AAPL,HOLX
AAPL,HON
AAPL,HRL
AAPL,HSIC
AAPL,HSY
AAPL,HUM
AAPL,IBM
AAPL,ICE
AAPL,IDXX
AAPL,IEX
AAPL,INVH
AAPL,IQV
AAPL,IR
AAPL,ISRG
AAPL,ITW
AAPL,J
AAPL,JBHT
AAPL,JCI
AAPL,JKHY
AAPL,JNJ
AAPL,JNPR
AAPL,K
AAPL,KDP
AAPL,KEYS
AAPL,KHC
AAPL,KMB
AAPL,KO
AAPL,KR
AAPL,LDOS
AAPL,LH
AAPL,LHX
AAPL,LIN
AAPL,LMT
AAPL,LNT
AAPL,MA
AAPL,MAA
AAPL,MCD
AAPL,MCO
AAPL,MDLZ
AAPL,MKC
AAPL,MLM
AAPL,MMC
AAPL,MNST
AAPL,MO
AAPL,MRK
AAPL,MSFT
AAPL,MSI
AAPL,MTD
AAPL,NDAQ
AAPL,NDSN
AAPL,NEE
AAPL,NEM
AAPL,NI
AAPL,NKE
AAPL,NOC
AAPL,NSC
AAPL,NWS
AAPL,NWSA
AAPL,OMC
AAPL,ORCL
AAPL,ORLY
AAPL,PAYX
AAPL,PCAR
AAPL,PEG
AAPL,PEP
AAPL,PFE
AAPL,PG
AAPL,PGR
AAPL,PKG
AAPL,PKI
AAPL,PLD
AAPL,PM
AAPL,POOL
AAPL,PSA
AAPL,RE
AAPL,REGN
AAPL,RHI
AAPL,RMD
AAPL,ROK
AAPL,ROL
AAPL,ROP
AAPL,RSG
AAPL,SBAC
AAPL,SBUX
AAPL,SEE
AAPL,SHW
AAPL,SJM
AAPL,SNA
AAPL,SO
AAPL,SPGI
AAPL,SRE
AAPL,STE
AAPL,STZ
AAPL,SYK
AAPL,TDY
AAPL,TECH
AAPL,TEL
AAPL,TGT
AAPL,TJX
AAPL,TMO
AAPL,TMUS
AAPL,TRV
AAPL,TT
AAPL,TXN
AAPL,UNH
AAPL,UNP
AAPL,UPS
AAPL,V
AAPL,VMC
AAPL,VRSK
AAPL,VRSN
AAPL,VRTX
AAPL,WAB
AAPL,WAT
AAPL,WEC
AAPL,WM
AAPL,WMT
AAPL,WRB
AAPL,WST
AAPL,WTW
AAPL,XEL
AAPL,XYL
AAPL,YUM
AAPL,ZTS
ABBV,ABC
ABBV,ABT
ABBV,ACGL
ABBV,ACN
ABBV,ADI
ABBV,ADM
ABBV,ADP
ABBV,AEE
ABBV,AEP
ABBV,AFL
ABBV,AJG
ABBV,ALL
ABBV,AMCR
ABBV,AME
ABBV,AMGN
ABBV,AON
ABBV,AOS
ABBV,APD
ABBV,APH
ABBV,ATO
ABBV,ATVI
ABBV,AVY
ABBV,AWK
ABBV,AZO
ABBV,BDX
ABBV,BF-B
ABBV,BIO
ABBV,BLK
ABBV,BMY
ABBV,BR
ABBV,BRK-B
ABBV,BRO
ABBV,BSX
ABBV,CAG
ABBV,CAH
ABBV,CAT
ABBV,CB
ABBV,CBOE
ABBV,CCI
ABBV,CDW
ABBV,CHD
ABBV,CHRW
ABBV,CI
ABBV,CL
ABBV,CLX
ABBV,CMI
ABBV,CMS
ABBV,CNC
ABBV,CNP
ABBV,COO
ABBV,COST
ABBV,CPB
ABBV,CPRT
ABBV,CPT
