0,1
AAP,EW
AAP,NTRS
ABC,WRB
ABT,NSC
ADI,EMR
ADI,VMC
ADI,YUM
ADP,PM
AEE,CNP
AEE,COST
AEE,GD
AEE,KO
AEE,LHX
AEE,PFE
AEE,PM
AEE,RSG
AEE,UNH
AEE,WM
AEP,ETR
AEP,HSY
AEP,KO
AEP,NOC
AEP,WRB
AFL,SJM
AJG,MCD
AJG,UNH
AJG,WAB
AKAM,DLR
ALL,IBM
AMCR,JNJ
AMCR,MNST
AMCR,STZ
AME,VMC
AON,WAB
APA,DVN
APH,NEE
ATO,LMT
AWK,EMR
AWK,IQV
AWK,ITW
AWK,LH
AWK,ROP
AWK,SYK
AWK,VMC
AXP,PRU
AZO,PEP
AZO,UNH
BKNG,FOX
BKNG,FOXA
BKNG,NTRS
BKNG,STT
BMY,SRE
BRO,COST
BRO,PFE
CB,WAB
CDW,YUM
CNC,CNP
CNC,HSY
CNC,NI
CNC,NOC
CNC,PEP
CNC,SO
CNC,SRE
CNP,GD
CNP,KO
COP,LLY
COP,MCK
COST,PFE
CSX,VMC
CTAS,MCD
CTAS,NEE
CTAS,WAB
CVS,KDP
DG,HUM
DGX,LIN
DGX,NDSN
DGX,VMC
DGX,WAB
DGX,YUM
DTE,DUK
DTE,JNJ
DUK,PAYX
ELV,EOG
ELV,HES
ELV,IRM
ELV,NUE
ELV,PXD
ELV,STLD
ELV,WMB
EMR,TXN
EMR,YUM
EOG,LLY
ETR,KO
EVRG,LHX
FAST,STE
FAST,UNP
FISV,ZBH
FOX,NTRS
FOX,PEAK
FOXA,NTRS
GEN,INVH
GEN,IQV
GEN,LH
GIS,MRK
GWW,SJM
HES,LLY
HES,MCK
HES,MPC
HES,PSX
HSIC,MDLZ
HSIC,PEG
HSIC,PM
HST,MAR
HST,SYY
HSY,WRB
HUM,ORLY
HUM,PGR
HUM,SJM
IBM,JNJ
IBM,MDLZ
IBM,PM
IBM,RE
IBM,SJM
IBM,TRV
IBM,UNH
IQV,LH
IQV,VMC
IRM,NUE
IRM,OKE
IRM,RJF
IRM,ULTA
ITW,VMC
JBHT,KDP
JBHT,LIN
JBHT,UNP
JNJ,KDP
JNJ,PM
JNJ,TRV
JNJ,WAB
KDP,WAB
KLAC,PRU
KMI,RTX
LH,SYK
LH,TDY
LH,TXN
LH,VMC
LIN,WAB
LIN,YUM
LLY,MPC
LNT,MDLZ
LNT,MMC
LNT,PAYX
LNT,PM
LNT,RSG
LNT,WM
MA,NSC
MA,SYK
MA,TXN
MAR,SYY
MCD,WAB
MCHP,NVR
MCHP,PH
MCK,MPC
MCK,VLO
MDLZ,WAB
MMC,WAB
MOH,NUE
MOH,RJF
NEE,WAB
NSC,TXN
NSC,VMC
NVR,NXPI
O,PPL
OKE,ULTA
ORLY,PEP
ORLY,SJM
PAYX,PFE
PEG,UNP
PFG,ULTA
PGR,SJM
PGR,WRB
PM,WAB
RJF,ULTA
SO,UNH
SO,WRB
SRE,WRB
SYK,TDY
TRV,WAB
WAB,WM
WAB,YUM
