0,1
MDLZ,WAB
MDT,QRVO
MET,RJF
MET,ULTA
META,MMM
META,SWK
MLM,VMC
MMC,WAB
MMM,QRVO
MMM,SWK
MMM,SWKS
MMM,XRAY
MOH,NUE
MOH,PWR
MOH,RJF
MSFT,PKI
MSFT,RHI
MSI,WAB
MTD,VMC
MTD,YUM
NEE,TMO
NEE,UPS
NEE,WAB
NSC,TXN
NSC,VMC
NTAP,PNC
NTRS,STX
NTRS,USB
NVR,NXPI
O,PPL
ODFL,TSCO
OKE,ULTA
ORCL,VMC
ORCL,YUM
ORLY,PEP
ORLY,SJM
PAYX,PFE
PEG,PKG
PEG,PSA
PEG,SEE
PEG,UNP
PFG,ULTA
PGR,SJM
PGR,WRB
PM,WAB
POOL,SHW
POOL,SPGI
POOL,WST
POOL,ZTS
PSX,SLB
PSX,XOM
RJF,ULTA
ROP,SHW
ROP,TGT
SEE,STE
SO,UNH
SO,WRB
SRE,WRB
SYK,TDY
SYK,TGT
TDG,TPR
TDG,TXT
TDG,URI
TDY,TECH
TDY,TEL
TDY,TGT
TDY,WAT
TECH,TGT
TRV,WAB
TSN,WELL
TXN,UPS
TYL,ZBRA
WAB,WM
WAB,YUM
WST,ZTS
