ticker,0
A,0
AAL,2
AAP,3
AAPL,0
ABBV,0
ABC,0
ABT,0
ACGL,0
ACN,0
ADBE,3
ADI,0
ADM,0
ADP,0
ADSK,3
AEE,0
AEP,0
AES,1
AFL,0
AIG,1
AIZ,3
AJG,0
AKAM,3
ALB,4
ALGN,2
ALK,2
ALL,0
ALLE,3
AMAT,1
AMCR,0
AMD,1
AME,0
AMGN,0
AMP,1
AMT,3
AMZN,3
ANET,1
ANSS,3
AON,0
AOS,0
APA,4
APD,0
APH,0
APTV,2
ARE,3
ATO,0
ATVI,0
AVB,3
AVGO,1
AVY,0
AWK,0
AXP,1
AZO,0
BA,2
BAC,3
BALL,3
BAX,3
BBWI,4
BBY,3
BDX,0
BEN,3
BF-B,0
BIIB,2
BIO,0
BK,3
BKNG,3
BKR,1
BLK,0
BMY,0
BR,0
BRK-B,0
BRO,0
BSX,0
BWA,3
BXP,3
C,3
CAG,0
CAH,0
CAT,0
CB,0
CBOE,0
CBRE,1
CCI,0
CCL,2
CDAY,2
CDNS,1
CDW,0
CE,3
CF,1
CFG,1
CHD,0
CHRW,0
CHTR,3
CI,0
CINF,3
CL,0
CLX,0
CMA,1
CMCSA,3
CME,3
CMG,1
CMI,0
CMS,0
CNC,0
CNP,0
COF,2
COO,0
COP,1
COST,0
CPB,0
CPRT,0
CPT,0
CRL,1
CRM,3
CSCO,0
CSGP,0
CSX,0
CTAS,0
CTLT,3
CTRA,1
CTSH,3
CTVA,1
CVS,0
CVX,1
CZR,4
D,3
DAL,2
DD,0
DE,1
DFS,1
DG,0
DGX,0
DHI,1
DHR,0
DIS,3
DISH,2
DLR,3
DLTR,1
DOV,0
DOW,3
DPZ,0
DRI,1
DTE,0
DUK,0
DVA,3
DVN,4
DXC,2
DXCM,1
EA,0
EBAY,0
ECL,3
ED,0
EFX,0
EIX,3
EL,0
ELV,1
EMN,0
EMR,0
ENPH,4
EOG,1
EPAM,1
EQIX,0
EQR,3
EQT,4
ES,0
ESS,3
ETN,0
ETR,0
ETSY,4
EVRG,0
EW,3
EXC,0
EXPD,0
EXPE,2
EXR,0
F,1
FANG,4
FAST,0
FCX,4
FDS,0
FDX,0
FE,3
FFIV,3
FIS,3
FISV,3
FITB,1
FLT,3
FMC,0
FOX,3
FOXA,3
FRC,3
FRT,3
FSLR,1
FTNT,1
FTV,3
GD,0
GE,3
GEN,0
GILD,0
GIS,0
GL,0
GLW,0
GM,3
GNRC,2
GOOG,0
GOOGL,0
GPC,0
GPN,3
GRMN,0
GS,0
GWW,0
HAL,4
HAS,3
HBAN,3
HCA,1
HD,0
HES,1
HIG,1
HII,3
HLT,3
HOLX,0
HON,0
HPE,3
HPQ,1
HRL,0
HSIC,0
HST,3
HSY,0
HUM,0
HWM,1
IBM,0
ICE,0
IDXX,0
IEX,0
IFF,3
ILMN,3
INCY,3
INTC,3
INTU,1
INVH,0
IP,3
IPG,1
IQV,0
IR,0
IRM,1
ISRG,0
IT,1
ITW,0
IVZ,1
J,0
JBHT,0
JCI,0
JKHY,0
JNJ,0
JNPR,0
JPM,3
K,0
KDP,0
KEY,2
KEYS,0
KHC,0
KIM,1
KLAC,1
KMB,0
KMI,3
KMX,3
KO,0
KR,0
L,3
LDOS,0
LEN,1
LH,0
LHX,0
LIN,0
LKQ,1
LLY,1
LMT,0
LNC,2
LNT,0
LOW,1
LRCX,1
LUMN,3
LUV,3
LVS,2
LW,3
LYB,1
LYV,2
MA,0
MAA,0
MAR,3
MAS,3
MCD,0
MCHP,1
MCK,1
MCO,0
MDLZ,0
MDT,3
MET,1
META,3
MGM,2
MHK,2
MKC,0
MKTX,3
MLM,0
MMC,0
MMM,3
MNST,0
MO,0
MOH,1
MOS,4
MPC,1
MPWR,1
MRK,0
MRNA,4
MRO,4
MS,1
MSCI,1
MSFT,0
MSI,0
MTB,3
MTCH,2
MTD,0
MU,3
NCLH,2
NDAQ,0
NDSN,0
NEE,0
NEM,0
NFLX,2
NI,0
NKE,0
NOC,0
NOW,1
NRG,3
NSC,0
NTAP,3
NTRS,3
NUE,1
NVDA,1
NVR,1
NWL,3
NWS,0
NWSA,0
NXPI,1
O,3
ODFL,1
OKE,1
OMC,0
ON,4
ORCL,0
ORLY,0
OXY,4
PARA,2
PAYC,1
PAYX,0
PCAR,0
PCG,1
PEAK,3
PEG,0
PEP,0
PFE,0
PFG,1
PG,0
PGR,0
PH,1
PHM,1
PKG,0
PKI,0
PLD,0
PM,0
PNC,3
PNR,3
PNW,3
POOL,0
PPG,3
PPL,3
PRU,1
PSA,0
PSX,1
PTC,1
PWR,1
PXD,1
PYPL,3
QCOM,1
QRVO,3
RCL,2
RE,0
REG,1
REGN,0
RF,1
RHI,0
RJF,1
RL,3
RMD,0
ROK,0
ROL,0
ROP,0
ROST,3
RSG,0
RTX,3
SBAC,0
SBNY,2
SBUX,0
SCHW,1
SEDG,4
SEE,0
SHW,0
SIVB,2
SJM,0
SLB,1
SNA,0
SNPS,1
SO,0
SPG,2
SPGI,0
SRE,0
STE,0
STLD,1
STT,3
STX,3
STZ,0
SWK,3
SWKS,3
SYF,2
SYK,0
SYY,3
T,3
TAP,3
TDG,1
TDY,0
TECH,0
TEL,0
TER,1
TFC,3
TFX,3
TGT,0
TJX,0
TMO,0
TMUS,0
TPR,1
TRGP,4
TRMB,3
TROW,3
TRV,0
TSCO,1
TSLA,4
TSN,3
TT,0
TTWO,3
TXN,0
TXT,1
TYL,3
UAL,2
UDR,3
UHS,3
ULTA,1
UNH,0
UNP,0
UPS,0
URI,1
USB,3
V,0
VFC,3
VICI,1
VLO,1
VMC,0
VNO,3
VRSK,0
VRSN,0
VRTX,0
VTR,2
VTRS,3
VZ,3
WAB,0
WAT,0
WBA,3
WBD,2
WDC,2
WEC,0
WELL,3
WFC,3
WHR,3
WM,0
WMB,1
WMT,0
WRB,0
WRK,3
WST,0
WTW,0
WY,1
WYNN,2
XEL,0
XOM,1
XRAY,3
XYL,0
YUM,0
ZBH,3
ZBRA,3
ZION,3
ZTS,0
